"﻿Station";"Polluant";"Mesure";"Unité";"2011";"2012";"2013";"2014";"2015"
"Lyon Centre";"Arsenic";"Arsenic";"nanog/m3";"0,5";"0,5";"0,5";"0,45";"0,48"
"Lyon Centre";"Benzène";"Benzène";"microg/m3";"1,2";"1,1";"1,1";"1";"1,07"
"Lyon Centre";"Benzo(a)pyrène";"Benzo(a)Pyrène";"nanog/m3";"0,41";"-";"0,17";"0,14";"0,181"
"Lyon Centre";"Cadmium";"Cadmium";"nanog/m3";"0,1";"0,2";"0,2";"0,19";"0,15"
"Lyon Centre";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"34";"30";"30";"30";"30"
"Lyon Centre";"Dioxyde soufre";"Dioxyde de soufre";"microg/m3";"2";"1";"1";"1";"1"
"Lyon Centre";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"16";"11";"12";"12";"15"
"Lyon Centre";"Nickel";"Nickel";"nanog/m3";"4,1";"5,1";"1,5";"1,87";"1,88"
"Lyon Centre";"Ozone";"Ozone";"microg/m3";"44";"45";"40";"45";"48"
"Lyon Centre";"Particules PM10";"Particules PM10";"microg/m3";"29";"23";"24";"21";"24"
"Lyon Centre";"Particules PM2,5";"Particules PM2.5";"microg/m3";"18";"20";"18";"14";"17"
"Lyon Centre";"Plomb";"Plomb";"nanog/m3";"6,6";"8,7";"7,7";"7,12";"6,63"
