"﻿Station";"Polluant";"Mesure";"Unité";"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Lyon Centre";"Arsenic";"Arsenic";"nanog/m3";"0,63";"0,69";"0,48";"0,48";"0,5";"0,31";"0,37";"0,29";"0,27";"0,29";"0,42";"0,4"
"Lyon Centre";"Benzène";"Benzène";"microg/m3";"1,73";"1,59";"1,2";"1,2";"1,06";"0,65";"-";"-";"-";"-";"-";"-"
"Lyon Centre";"Benzo(a)pyrène";"Benzo(a)Pyrène";"nanog/m3";"0,611";"0,507";"0,254";"0,224";"0,108";"0,053";"0,023";"0,024";"-";"-";"-";"-"
"Lyon Centre";"Cadmium";"Cadmium";"nanog/m3";"0,28";"0,25";"0,18";"0,13";"0,13";"0,1";"0,12";"0,04";"0,04";"0,05";"0,08";"0,09"
"Lyon Centre";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"46";"51";"39";"37";"30";"23";"22";"20";"20";"22";"26";"28"
"Lyon Centre";"Dioxyde soufre";"Dioxyde de soufre";"microg/m3";"2";"2";"1";"1";"0";"-";"1";"1";"1";"-";"-";"-"
"Lyon Centre";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"43";"54";"16";"16";"6";"4";"3";"4";"2";"2";"5";"9"
"Lyon Centre";"Nickel";"Nickel";"nanog/m3";"2,08";"3,15";"1,74";"1,37";"1,16";"1,42";"1,23";"1,12";"0,8";"9,79";"1,47";"1,09"
"Lyon Centre";"Ozone";"Ozone";"microg/m3";"14";"14";"23";"29";"43";"55";"61";"55";"65";"63";"-";"28"
"Lyon Centre";"Particules PM10";"Particules PM10";"microg/m3";"28";"34";"20";"23";"26";"16";"14";"13";"17";"16";"19";"17"
"Lyon Centre";"Particules PM2,5";"Particules PM2.5";"microg/m3";"22";"26";"13";"16";"20";"10";"9";"8";"11";"10";"12";"13"
"Lyon Centre";"Plomb";"Plomb";"nanog/m3";"9,65";"11,03";"13,59";"9,15";"5,8";"3,9";"3,86";"2,42";"2,64";"2,47";"4,11";"4,84"
